area_code,sla_code,unemployed
305071585,305071585,39
305071593,305071593,38
305071596,305071596,82
305071604,305071604,139
305071612,305071612,64
305071653,305071653,161
305091015,305091015,247
305091042,305091042,67
305091086,305091086,90
305091097,305091097,143
105558250,105558250,1170
305091102,305091102,87
305091108,305091108,188
305091113,305091113,175
305091116,305091116,127
305091157,305091157,284
305091195,305091195,137
305091214,305091214,71
305091247,305091247,199
305091258,305091258,73
305091282,305091282,125
105600501,105600501,1278
305091285,305091285,116
305091391,305091391,202
305091397,305091397,161
305091432,305091432,141
305091563,305091563,146
305091645,305091645,51
305091648,305091648,110
305111001,305111001,205
305111012,305111012,190
305111023,305111023,24
105600503,105600503,765
305111057,305111057,74
305111091,305111091,12
305111094,305111094,223
305111123,305111123,22
305111154,305111154,109
305111198,305111198,287
305111251,305111251,26
305111265,305111265,64
305111331,305111331,141
305111337,305111337,77
105600505,105600505,743
305111356,305111356,165
305111364,305111364,71
305111367,305111367,168
305111372,305111372,186
305111394,305111394,0
305111402,305111402,61
305111405,305111405,226
305111413,305111413,67
305111416,305111416,87
305111456,305111456,40
105604001,105604001,1147
305111463,305111463,192
305111492,305111492,159
305111495,305111495,22
305111498,305111498,38
305111503,305111503,350
305111511,305111511,113
305111541,305111541,106
305111547,305111547,283
305111552,305111552,411
305111571,305111571,153
105604004,105604004,1778
305111588,305111588,195
305111601,305111601,50
305111615,305111615,3
305111626,305111626,189
305111637,305111637,288
305111642,305111642,211
305150552,305150552,753
305202002,305202002,395
305202005,305202005,489
305202008,305202008,634
105604500,105604500,1549
305202013,305202013,378
305202014,305202014,104
305202015,305202015,247
305202016,305202016,612
305202018,305202018,628
305253962,305253962,1695
305253965,305253965,1320
305253966,305253966,139
305253974,305253974,101
305253976,305253976,133
105655150,105655150,572
305304601,305304601,790
305304603,305304603,66
305304605,305304605,70
305304608,305304608,212
305304612,305304612,519
305304615,305304615,278
305304618,305304618,263
305304623,305304623,633
305304631,305304631,270
305304634,305304634,202
105656370,105656370,745
305304637,305304637,338
305304642,305304642,114
305304645,305304645,28
305304651,305304651,111
305304654,305304654,159
305304656,305304656,823
305304663,305304663,63
305405951,305405951,225
305405957,305405957,189
305405958,305405958,238
105057205,105057205,1371
105658000,105658000,1884
305405961,305405961,505
305405963,305405963,181
305405971,305405971,295
305405973,305405973,148
305405974,305405974,172
305405978,305405978,291
305405988,305405988,255
305456201,305456201,213
305456204,305456204,313
305456206,305456206,515
105703101,105703101,1530
305456208,305456208,326
305506251,305506251,369
305506254,305506254,264
305506257,305506257,377
305506262,305506262,273
305506264,305506264,97
305506265,305506265,196
305506267,305506267,73
305506268,305506268,93
305506271,305506271,204
105703104,105703104,2908
305506273,305506273,260
305506276,305506276,201
305506283,305506283,236
307053461,307053461,262
307053463,307053463,163
307053466,307053466,325
307053471,307053471,142
307053473,307053473,57
307053476,307053476,138
307053481,307053481,201
105708551,105708551,2516
307053493,307053493,67
307103508,307103508,735
307103511,307103511,185
307103514,307103514,210
307103515,307103515,204
307103517,307103517,72
307103521,307103521,170
307103523,307103523,283
307103527,307103527,190
307103533,307103533,79
105708554,105708554,2294
307103555,307103555,51
307103562,307103562,345
307103563,307103563,161
307103573,307103573,393
307103576,307103576,338
307103585,307103585,768
307103587,307103587,551
307153502,307153502,404
307153525,307153525,436
307153531,307153531,240
110051720,110051720,1689
307153534,307153534,134
307153535,307153535,211
307153537,307153537,242
307153543,307153543,333
307153547,307153547,107
307153551,307153551,418
307153564,307153564,142
307153566,307153566,487
307153567,307153567,630
307153568,307153568,273
110054651,110054651,1908
307153572,307153572,293
307153578,307153578,481
307153581,307153581,158
307153582,307153582,477
307153592,307153592,355
307153593,307153593,213
307200553,307200553,207
307203538,307203538,81
309052132,309052132,585
309052133,309052133,506
110054653,110054653,1963
309052135,309052135,476
309054902,309054902,990
309054905,309054905,684
309054907,309054907,519
309054911,309054911,321
309054914,309054914,388
309054917,309054917,338
309055752,309055752,202
309055755,309055755,261
309055756,309055756,319
110054655,110054655,1619
309102136,309102136,172
309102138,309102138,427
309104918,309104918,630
309105758,309105758,494
312053050,312053050,360
312054250,312054250,69
312100555,312100555,219
312100800,312100800,137
312103250,312103250,314
312104450,312104450,367
110055050,110055050,1905
315051810,315051810,1507
315051981,315051981,420
315073751,315073751,1530
315100700,315100700,43
315101984,315101984,371
315102330,315102330,18
315102532,315102532,610
315102535,315102535,561
315102950,315102950,25
315103300,315103300,49
105057206,105057206,1190
110055903,110055903,1842
315103754,315103754,144
315104000,315104000,171
315104300,315104300,76
315104350,315104350,239
315104400,315104400,182
315104950,315104950,833
315105100,315105100,183
315105150,315105150,42
315105450,315105450,25
315105500,315105500,67
110055904,110055904,1382
315105650,315105650,272
315105900,315105900,10
315106850,315106850,222
315107450,315107450,107
315107500,315107500,83
320012151,320012151,57
320012551,320012551,89
320014201,320014201,100
320016451,320016451,76
320016901,320016901,361
110055905,110055905,1669
320016903,320016903,179
320016905,320016905,482
320016906,320016906,582
320016908,320016908,550
320052154,320052154,27
320052350,320052350,103
320052400,320052400,52
320052554,320052554,80
320052650,320052650,233
320053600,320053600,123
110056400,110056400,1826
320053900,320053900,40
320054204,320054204,130
320055000,320055000,63
320055550,320055550,32
320056050,320056050,87
320056454,320056454,73
320056600,320056600,241
320056700,320056700,115
320056750,320056750,18
320057120,320057120,29
110102700,110102700,175
320057150,320057150,94
320057262,320057262,303
320057263,320057263,77
320057265,320057265,52
320057266,320057266,84
325050300,325050300,79
325050650,325050650,17
325050850,325050850,32
325051750,325051750,6
325051850,325051850,10
110103050,110103050,122
325055600,325055600,60
325055800,325055800,64
325056150,325056150,20
325056400,325056400,97
325057200,325057200,8
330053151,330053151,120
330054551,330054551,35
330056350,330056350,1549
330102101,330102101,287
330103350,330103350,813
110103400,110103400,1089
330150350,330150350,166
330150500,330150500,27
330152104,330152104,66
330152850,330152850,78
330153000,330153000,204
330153154,330153154,74
330154100,330154100,10
330154554,330154554,538
330155350,330155350,129
330155850,330155850,30
110105650,110105650,382
330157550,330157550,15
335050150,335050150,15
335050400,335050400,27
335050450,335050450,3
335050750,335050750,27
335050900,335050900,17
335052750,335052750,4
335053850,335053850,6
335054050,335054050,3
335054700,335054700,52
110107000,110107000,453
335056650,335056650,9
335057400,335057400,16
340054762,340054762,1399
340100600,340100600,108
340100950,340100950,261
340101700,340101700,76
340104765,340104765,160
340105050,340105050,99
340105700,340105700,27
340106550,340106550,222
110107620,110107620,289
340107330,340107330,296
345057001,345057001,105
345057003,345057003,71
345057007,345057007,128
345057012,345057012,52
345057014,345057014,157
345057015,345057015,72
345057018,345057018,56
345057023,345057023,123
345057026,345057026,112
105106550,105106550,2763
115054400,115054400,417
345057027,345057027,44
345057031,345057031,43
345057033,345057033,106
345057034,345057034,83
345057038,345057038,137
345057041,345057041,135
345057044,345057044,59
345057047,345057047,27
345057051,345057051,52
345057054,345057054,68
115056900,115056900,1988
345057058,345057058,34
345057062,345057062,51
345057065,345057065,63
345057068,345057068,17
345057071,345057071,80
345057074,345057074,99
345057078,345057078,117
345106801,345106801,240
345106804,345106804,511
345106807,345106807,459
115058451,115058451,3312
345151900,345151900,304
345152300,345152300,201
345152700,345152700,85
345153800,345153800,178
345155770,345155770,85
345156831,345156831,163
345157084,345157084,55
350052062,350052062,384
350052065,350052065,643
350052066,350052066,262
115058454,115058454,2948
350052068,350052068,231
350052072,350052072,316
350052074,350052074,709
350052076,350052076,198
350100200,350100200,229
350100250,350100250,27
350100270,350100270,20
350100330,350100330,19
350100770,350100770,4
350102078,350102078,72
115076951,115076951,1127
350102200,350102200,177
350102500,350102500,100
350102600,350102600,16
